"","X1","X2"
"AAG03852","AAG03852","PA0463"
"AAG03853","AAG03853","PA0464"
"AAG03854","AAG03854","PA0465"
"AAG03855","AAG03855","PA0466"
"AAG03856","AAG03856","PA0467"
"AAG03857","AAG03857","PA0468"
"AAG03858","AAG03858","PA0469"
"AAG03859","AAG03859","PA0470"
"AAG03860","AAG03860","PA0471"
"AAG03861","AAG03861","PA0472"
"AAG03862","AAG03862","PA0473"
"AAG03863","AAG03863","PA0474"
"AAG03864","AAG03864","PA0475"
"AAG03865","AAG03865","PA0476"
"AAG03866","AAG03866","PA0477"
"AAG03867","AAG03867","PA0478"
"AAG03868","AAG03868","PA0479"
"AAG03869","AAG03869","PA0480"
"AAG03870","AAG03870","PA0481"
"AAG03871","AAG03871","PA0482"
"AAG03872","AAG03872","PA0483"
"AAG03873","AAG03873","PA0484"
"AAG03874","AAG03874","PA0485"
"AAG03875","AAG03875","PA0486"
"AAG03876","AAG03876","PA0487"
"AAG03877","AAG03877","PA0488"
"AAG03878","AAG03878","PA0489"
"AAG03879","AAG03879","PA0490"
"AAG03880","AAG03880","PA0491"
"AAG03881","AAG03881","PA0492"
"AAG03882","AAG03882","PA0493"
"AAG03883","AAG03883","PA0494"
"AAG03884","AAG03884","PA0495"
"AAG03885","AAG03885","PA0496"
"AAG03886","AAG03886","PA0497"
"AAG03887","AAG03887","PA0498"
"AAG03888","AAG03888","PA0499"
"AAG03889","AAG03889","PA0500"
"AAG03890","AAG03890","PA0501"
"AAG03891","AAG03891","PA0502"
"AAG03892","AAG03892","PA0503"
"AAG03893","AAG03893","PA0504"
"AAG03894","AAG03894","PA0505"
"AAG03895","AAG03895","PA0506"
"AAG03896","AAG03896","PA0507"
"AAG03897","AAG03897","PA0508"
"AAG03898","AAG03898","PA0509"
"AAG03899","AAG03899","PA0510"
"AAG03900","AAG03900","PA0511"
"AAG03901","AAG03901","PA0512"
"AAG03902","AAG03902","PA0513"
"AAG03903","AAG03903","PA0514"
"AAG03904","AAG03904","PA0515"
"AAG03905","AAG03905","PA0516"
"AAG03906","AAG03906","PA0517"
"AAG03907","AAG03907","PA0518"
"AAG03908","AAG03908","PA0519"
"AAG03909","AAG03909","PA0520"
"AAG03910","AAG03910","PA0521"
"AAG03911","AAG03911","PA0522"
"AAG03912","AAG03912","PA0523"
"AAG03913","AAG03913","PA0524"
"AAG03914","AAG03914","PA0525"
"AAG03915","AAG03915","PA0526"
"AAG03916","AAG03916","PA0527"
"AAG03917","AAG03917","PA0528"
"AAG03918","AAG03918","PA0529"
"AAG03919","AAG03919","PA0530"
"AAG03920","AAG03920","PA0531"
"AAG03921","AAG03921","PA0532"
"AAG03922","AAG03922","PA0533"
"AAG03923","AAG03923","PA0534"
"AAG03924","AAG03924","PA0535"
"AAG03925","AAG03925","PA0536"
"AAG03926","AAG03926","PA0537"
"AAG03927","AAG03927","PA0538"
"AAG03928","AAG03928","PA0539"
"AAG03929","AAG03929","PA0540"
"AAG03930","AAG03930","PA0541"
"AAG03931","AAG03931","PA0542"
"AAG03932","AAG03932","PA0543"
"AAG03933","AAG03933","PA0544"
"AAG03934","AAG03934","PA0545"
"AAG03935","AAG03935","PA0546"
"AAG03936","AAG03936","PA0547"
"AAG03937","AAG03937","PA0548"
"AAG03938","AAG03938","PA0549"
"AAG03939","AAG03939","PA0550"
"AAG03940","AAG03940","PA0551"
"AAG03941","AAG03941","PA0552"
"AAG03942","AAG03942","PA0553"
"AAG03943","AAG03943","PA0554"
"AAG03944","AAG03944","PA0555"
"AAG03945","AAG03945","PA0556"
"AAG03946","AAG03946","PA0557"
"AAG03947","AAG03947","PA0558"
"AAG03948","AAG03948","PA0559"
"AAG03949","AAG03949","PA0560"
"AAG03950","AAG03950","PA0561"
"AAG03951","AAG03951","PA0562"
"AAG03952","AAG03952","PA0563"
"AAG03953","AAG03953","PA0564"
"AAG03954","AAG03954","PA0565"
"AAG03955","AAG03955","PA0566"
"AAG03956","AAG03956","PA0567"
"AAG03957","AAG03957","PA0568"
"AAG03958","AAG03958","PA0569"
"AAG03959","AAG03959","PA0570"
"AAG03960","AAG03960","PA0571"
"AAG03961","AAG03961","PA0572"
"AAG03962","AAG03962","PA0573"
"AAG03963","AAG03963","PA0574"
"AAG03964","AAG03964","PA0575"
"AAG03965","AAG03965","PA0576"
"AAG03966","AAG03966","PA0577"
"AAG03967","AAG03967","PA0578"
"AAG03968","AAG03968","PA0579"
"AAG03969","AAG03969","PA0580"
"AAG03970","AAG03970","PA0581"
"AAG03971","AAG03971","PA0582"
"AAG03972","AAG03972","PA0583"
"AAG03973","AAG03973","PA0584"
"AAG03974","AAG03974","PA0585"
"AAG03975","AAG03975","PA0586"
"AAG03976","AAG03976","PA0587"
"AAG03977","AAG03977","PA0588"
"AAG03978","AAG03978","PA0589"
"AAG03979","AAG03979","PA0590"
"AAG03980","AAG03980","PA0591"
"AAG03981","AAG03981","PA0592"
"AAG03982","AAG03982","PA0593"
"AAG03983","AAG03983","PA0594"
"AAG03984","AAG03984","PA0595"
"AAG03985","AAG03985","PA0596"
"AAG03986","AAG03986","PA0597"
"AAG03987","AAG03987","PA0598"
"AAG03988","AAG03988","PA0599"
"AAG03989","AAG03989","PA0600"
"AAG03990","AAG03990","PA0601"
"AAG03991","AAG03991","PA0602"
"AAG03992","AAG03992","PA0603"
"AAG03993","AAG03993","PA0604"
"AAG03994","AAG03994","PA0605"
"AAG03995","AAG03995","PA0606"
"AAG03996","AAG03996","PA0607"
"AAG03997","AAG03997","PA0608"
"AAG03998","AAG03998","PA0609"
